brandId,slug,name,productsCount,sourceLogoUrl,sourceUrl,sourceType,licenseNote,recommendedAssetPath,status,comment
u2ibueks6co9lcnw349wiupo,arton,Артон,51,https://www.arton.com.ua/tpls/img/logon.png,https://www.arton.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/arton.webp,approved,Verified official PNG logo from manufacturer website header
r8yewtml5wtaj88p6mc43grd,zubr,ZUBR,50,https://ds-electronics.com.ua/templates/dse_2.0/img/Logo_DSE.svg,https://ds-electronics.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/zubr.svg,approved,Verified official manufacturer logo (DS Electronics)
n2psapzhxwdsuzq8zw5hyel8,ecohome,Ecohome,42,https://ecohome.ua/app/uploads/2025/03/logo-new.svg,https://ecohome.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/ecohome.svg,approved,Verified official SVG logo from manufacturer website uploads
p7e0p86lsgifsjfhx0aa76g8,sobstvennoe-proyzvodstvo,Собственное производство,42,,,,,,skip,Custom in-house production; no official corporate brand logo exists
spum4lwk5zi9sl5x87wmeuxb,cudy,CUDY,40,https://www.cudy.com/uploads/logo.svg,https://www.cudy.com/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/cudy.svg,approved,Verified official SVG logo from manufacturer website uploads
r4o53s12e4jjv4819ijhn4vm,dortec,Dortec,39,http://www.dortec.cn/views/default/images/logo.png,http://www.dortec.cn/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/dortec.webp,approved,Verified official PNG logo from manufacturer CSS background styles
mi5jdqxppcn921zl690q99ie,neolight,Neolight,38,https://neolight.ua/wp-content/uploads/2024/11/NeoLight_R-site.png,https://neolight.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/neolight.webp,approved,Verified official PNG logo from Ukrainian dealer website uploads
lyfjm26toe549tceqdxk3ixx,byom,БИОМ,36,,,,,,skip,Duplicate variant of Biom brand
qdah7qqmo1161wbh06u1j1zp,hal-kat,ГАЛ-КАТ,35,https://www.galkat.com/theme/GalKat/img/logo.svg,https://galkat.com/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/hal-kat.svg,approved,Verified official SVG logo from manufacturer website theme assets
fabygpw1jvg7sn32z4g2grms,arny,ARNY,34,https://arny.com.ua/uploads/images/promo/arny-home/hero_logo_big.svg,https://arny.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/arny.svg,approved,Verified official SVG logo from manufacturer promo resources
w4k24lkkxg9anv61gstv0yt4,slinex,Slinex,34,https://slinex.com.ua/img/logo/slinex_logo.svg,https://slinex.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/slinex.svg,approved,Verified official SVG logo from manufacturer website theme assets
zfx7vorgzfakce7y06sjzt43,mikrotik,Mikrotik,34,https://upload.wikimedia.org/wikipedia/commons/2/22/MikroTik_Logo_%282022%29.svg,https://mikrotik.com/,wikimedia,Public Domain / Copyrighted (fair use),/public/logos/brands/mikrotik.svg,approved,Verified SVG logo from Wikimedia Commons
ozrz8trymrzwut7k3xyz6vwa,tcf,TCF,32,,,,,,skip,No active official brand site or official logo (parked vape-related domain / untraced brand)
